gray_value,rgb_value
200,"[234.184103, 184.1030000000028, 103]"
201,"[234.184103, 184.1030000000028, 103]"
202,"[179.212222, 212.22200000000885, 222]"
203,"[179.212222, 212.22200000000885, 222]"
204,"[179.212222, 212.22200000000885, 222]"
205,"[179.212222, 212.22200000000885, 222]"
206,"[179.212222, 212.22200000000885, 222]"
207,"[179.212222, 212.22200000000885, 222]"
208,"[179.212222, 212.22200000000885, 222]"
209,"[179.212222, 212.22200000000885, 222]"
210,"[179.212222, 212.22200000000885, 222]"
211,"[179.212222, 212.22200000000885, 222]"
212,"[179.212222, 212.22200000000885, 222]"
213,"[179.212222, 212.22200000000885, 222]"
214,"[179.212222, 212.22200000000885, 222]"
215,"[179.212222, 212.22200000000885, 222]"
216,"[179.212222, 212.22200000000885, 222]"
217,"[179.212222, 212.22200000000885, 222]"
218,"[179.212222, 212.22200000000885, 222]"
219,"[179.212222, 212.22200000000885, 222]"
220,"[179.212222, 212.22200000000885, 222]"
221,"[179.212222, 212.22200000000885, 222]"
222,"[179.212222, 212.22200000000885, 222]"
223,"[179.212222, 212.22200000000885, 222]"
224,"[179.212222, 212.22200000000885, 222]"
225,"[179.212222, 212.22200000000885, 222]"
226,"[179.212222, 212.22200000000885, 222]"
227,"[179.212222, 212.22200000000885, 222]"
228,"[179.212222, 212.22200000000885, 222]"
229,"[179.212222, 212.22200000000885, 222]"
230,"[179.212222, 212.22200000000885, 222]"
231,"[179.212222, 212.22200000000885, 222]"
232,"[179.212222, 212.22200000000885, 222]"
233,"[179.212222, 212.22200000000885, 222]"
234,"[179.212222, 212.22200000000885, 222]"
235,"[179.212222, 212.22200000000885, 222]"
236,"[179.212222, 212.22200000000885, 222]"
237,"[179.212222, 212.22200000000885, 222]"
238,"[179.212222, 212.22200000000885, 222]"
239,"[179.212222, 212.22200000000885, 222]"
240,"[179.212222, 212.22200000000885, 222]"
241,"[179.212222, 212.22200000000885, 222]"
242,"[179.212222, 212.22200000000885, 222]"
243,"[179.212222, 212.22200000000885, 222]"
244,"[179.212222, 212.22200000000885, 222]"
245,"[179.212222, 212.22200000000885, 222]"
246,"[179.212222, 212.22200000000885, 222]"
247,"[179.212222, 212.22200000000885, 222]"
248,"[179.212222, 212.22200000000885, 222]"
249,"[179.212222, 212.22200000000885, 222]"
250,"[179.212222, 212.22200000000885, 222]"
251,"[179.212222, 212.22200000000885, 222]"
252,"[179.212222, 212.22200000000885, 222]"
253,"[179.212222, 212.22200000000885, 222]"
254,"[179.212222, 212.22200000000885, 222]"
255,"[0.0, 0.0, 0]"
